"","Lats","Longs"
"1",42.02187,-87.696705
"2",42.03477,-87.716488
"3",41.868959,-87.633429
"4",41.962976,-87.672211
"5",41.89815,-87.716252
"6",41.850654,-87.634486
"7",41.890531,-87.66754
"8",41.923564,-87.706169
"9",41.923784,-87.650103
"10",41.854913,-87.630711
"11",41.86029,-87.682914
"12",41.878353,-87.701461
